osm_id,name,name_en,name_si,name_ta,type,operator,lat,lon
8692974291,Galoya Junction,Galoya Junction,,,stop,,8.1376799,80.8657614
8692974311,Galoya Junction,Galoya Junction,,,stop,,8.1378578,80.8657855
8710649328,Eluthumadduval,Eluthumadduval,,,station,,9.6521856,80.2808064
8731291639,Kodaikamam,Kodaikamam,,,stop,,9.6811031,80.219412
8952547241,Hunupitiya,Hunupitiya,,,stop,,6.9877918,79.9004604
8952547242,Hunupitiya,Hunupitiya,,,stop,,6.987827,79.9003945
8958414235,Avissawella,Avissawella,,,stop,,6.9545037,80.2072783
8958414236,Avissawella,Avissawella,,,stop,,6.9545401,80.2072769
8958414237,Avissawella,Avissawella,,,stop,,6.9546057,80.2072711
8972985817,Ambewela,Ambewela,,,station,,6.8773347,80.8143421
8997200408,Godagama,Godagama,,,station,,6.8479029,80.0328649
9552182535,Ella Railway Station,Ella Railway Station,,,station,,6.876147,81.0474878
9779639998,,,,,station,,9.7041298,80.0246792
9785228872,vavuniya Railway  station,vavuniya Railway  station,,,station,,8.753866,80.4936629
10046923330,Dehiwala,Dehiwala,,,station,Sri Lanka Railways,6.8509082,79.8621137
10050777317,Watareka,Watareka,,,station,,6.8431734,80.0598726
10050777326,Panagoda,Panagoda,,,station,,6.846941,80.0190057
10050777328,Homagama,Homagama,,,station,,6.8456046,80.0042414
10050777335,Homagama Hospital,Homagama Hospital,,,station,,6.8457616,79.992439
10050777338,Malapalla,Malapalla,,,station,,6.8440838,79.9750754
10050777350,Pannipitiya,Pannipitiya,,,station,,6.8473816,79.9488784
10050777356,Maharagama,Maharagama,,,station,,6.8480166,79.9271848
10778985248,Katukurunda,Katukurunda,,,stop,,6.5601145,79.9659321
10964875317,Mallakam,Mallakam,,,stop,,9.761996,80.0326914
10964875322,Inuvil,Inuvil,,,stop,,9.7264579,80.0295313
10964875325,,,,,station,,9.6881931,80.021157
11028932205,Waikkala,Train Station Waikkala,,,halt,,7.2774201,79.8602067
11192254346,"Railway Station, Mannar","Railway Station, Mannar",,,station,,8.9713411,79.8937444
11676326444,Eravur,Eravur,,,stop,,7.7856521,81.604492
11865647292,Kalkudah,Kalkudah,,,stop,,7.8966638,81.5538754
11960031252,Kotagala,Kotagala,,,station,,6.9283117,80.6086713
12389487403,Pilimatalawa,Pilimatalawa,,,station,Sri Lanka Railways,7.2669217,80.5526682
12504514573,Beliatte,Beliatte,,,stop,,6.0422427,80.7370772
12504514588,Beliatte,Beliatte,,,stop,,6.0422674,80.7369757
12504581401,Beliatte,Beliatte,,,stop,,6.0422947,80.7369127
12514925408,Weherahena,Weherahena,,,station,,5.9570646,80.5779236
12628678229,Ella,Ella,,,stop,,6.8759012,81.0472113
12628680967,Uduwara,Uduwara,,,station,,6.9315537,81.0421319
12628682553,Haputale,Haputale,,,stop,,6.7682176,80.9576442
12628683312,Demodera,Demodera,,,stop,,6.9029776,81.0629151
12628683313,Demodera,Demodera,,,stop,,6.9029722,81.0628787
12628685621,Hali-Ela,Hali-Ela,,,stop,,6.9539244,81.033563
12630469761,Wanawasala,Wanawasala,,,stop,,6.9755691,79.8992749
12630469762,Wanawasala,Wanawasala,,,stop,,6.9755732,79.8992201
12630514949,Dematagoda,Dematagoda,,,stop,,6.9374258,79.8790157
12630517189,Enderamulla,Enderamulla,,,stop,,7.0004354,79.9069073
12630517190,Enderamulla,Enderamulla,,,stop,,7.0004223,79.9067672
12630517191,Enderamulla,Enderamulla,,,stop,,7.0004166,79.9067357
12630521145,Kandana,Kandana,,,stop,,7.0493444,79.90164
12630521146,Kandana,Kandana,,,stop,,7.0493253,79.9016042
12630521147,Peralanda,Peralanda,,,stop,,7.038205,79.9122599
12630521148,Peralanda,Peralanda,,,stop,,7.0381852,79.9122459
12630524652,Liyanagemulla,Liyanagemulla,,,stop,,7.147157,79.8782886
12630524653,Seeduwa,Seeduwa,,,stop,,7.1291101,79.8825081
12630524654,Seeduwa,Seeduwa,,,stop,,7.1290817,79.8823684
