from,to,distance_km,duration_min
kalutara,akuressa,101.7,94.6
kalutara,weligama,101.3,88.3
kalutara,batapola,57.9,60.0
kalutara,elipitiya,50.5,52.7
kalutara,jaffna,431.1,475.0
kalutara,vavuniya,291.3,311.6
kalutara,mannar,336.1,373.6
kalutara,kilinochchi,368.7,406.8
kalutara,mullaitivu,365.4,414.8
kalutara,point pedro,426.1,473.9
kalutara,chavakachcheri,416.3,458.7
kalutara,kayts,450.2,501.9
kalutara,veldithurai,430.0,480.5
kalutara,nallur,428.3,472.4
kalutara,trincomalee,294.7,309.9
kalutara,batticaloa,347.5,365.9
kalutara,ampara,363.6,351.6
kalutara,kalmunai,387.8,378.7
kalutara,akkaraipattu,382.4,361.7
kalutara,erei,287.8,312.5
kalutara,kattankudy,352.9,372.7
kalutara,mutur,302.5,323.1
kalutara,valachchenai,324.4,345.0
kalutara,kurunegala,131.1,127.5
kalutara,puttalam,182.4,182.6
kalutara,chilaw,128.7,124.7
kalutara,kuliyapitiya,120.7,130.8
kalutara,naththandiya,112.9,113.8
kalutara,wennappuwa,103.8,99.4
kalutara,madurankuliya,168.9,169.7
kalutara,pannala,110.9,111.4
kalutara,anuradhapura,231.3,261.8
kalutara,polonnaruwa,252.9,257.0
kalutara,medawachchiya,267.6,281.9
kalutara,kaduruwela,255.5,262.4
kalutara,kekirawa,215.1,221.2
kalutara,habarana,208.4,208.9
kalutara,galenbindunuwewa,273.3,297.1
kalutara,talawa,214.7,240.9
kalutara,badulla,201.7,220.5
kalutara,bandarawela,174.0,189.3
kalutara,monaragala,270.8,240.8
kalutara,welimada,189.0,208.4
kalutara,mahiyanganaya,227.1,253.7
kalutara,haputale,157.2,187.4
kalutara,ella,187.1,204.1
kalutara,passara,215.8,247.2
kalutara,wellawaya,179.9,192.9
kalutara,ratnapura,76.1,84.5
kalutara,kegalle,113.8,115.4
kalutara,embilipitiya,174.5,145.0
kalutara,balangoda,119.8,130.6
kalutara,ruwanwella,94.0,106.7
kalutara,deraniyagala,98.4,111.2
kalutara,kitulgala,114.5,127.3
kalutara,rakkula,105.5,116.5
panadura,horana,18.8,22.2
panadura,avissawella,67.4,73.6
panadura,wattala,33.9,47.2
panadura,homagama,29.9,32.0
panadura,maharagama,22.2,31.8
panadura,boralesgamuwa,18.6,26.2
panadura,kandy,143.4,151.5
panadura,matale,173.6,176.0
panadura,nuwara eliya,179.5,198.7
panadura,gampola,141.0,156.8
panadura,hatton,141.1,156.0
panadura,dambulla,179.5,177.9
panadura,katugastota,146.8,156.9
panadura,peradeniya,137.6,144.2
panadura,pilimathalawa,130.8,135.7
panadura,galagedara,150.2,149.4
panadura,galle,95.9,88.7
panadura,matara,133.1,113.2
panadura,hambantota,218.0,175.5
panadura,tangalle,160.1,131.6
panadura,ambalangoda,58.5,68.6
panadura,deniyaya,169.4,155.7
panadura,tissamaharama,226.9,187.1
panadura,akuressa,121.3,108.9
panadura,weligama,121.0,102.7
panadura,batapola,77.6,74.4
panadura,elipitiya,70.2,67.1
panadura,jaffna,423.4,466.6
panadura,vavuniya,283.6,303.3
panadura,mannar,328.4,365.3
panadura,kilinochchi,360.9,398.4
panadura,mullaitivu,357.7,406.5
panadura,point pedro,418.4,465.6
panadura,chavakachcheri,408.5,450.4
panadura,kayts,442.5,493.5
panadura,veldithurai,422.3,472.2
panadura,nallur,420.5,464.0
panadura,trincomalee,287.0,301.5
panadura,batticaloa,339.7,357.6
panadura,ampara,312.2,345.8
panadura,kalmunai,336.4,372.9
panadura,akkaraipattu,331.1,355.9
panadura,erei,280.1,304.1
panadura,kattankudy,345.2,364.4
panadura,mutur,294.7,314.8
panadura,valachchenai,316.6,336.7
panadura,kurunegala,123.4,119.1
panadura,puttalam,174.7,174.3
panadura,chilaw,121.0,116.4
panadura,kuliyapitiya,113.0,122.4
panadura,naththandiya,105.1,105.5
panadura,wennappuwa,96.1,91.1
panadura,madurankuliya,161.1,161.4
panadura,pannala,103.2,103.1
panadura,anuradhapura,223.5,253.4
panadura,polonnaruwa,245.1,248.7
panadura,medawachchiya,259.9,273.5
panadura,kaduruwela,247.8,254.1
panadura,kekirawa,207.4,212.9
panadura,habarana,200.6,200.6
panadura,galenbindunuwewa,265.6,288.7
panadura,talawa,206.9,232.6
panadura,badulla,194.0,212.2
panadura,bandarawela,166.2,181.0
panadura,monaragala,219.4,235.0
panadura,welimada,181.3,200.0
panadura,mahiyanganaya,219.4,245.3
panadura,haputale,149.4,179.0
panadura,ella,179.4,195.7
panadura,passara,208.1,238.9
panadura,wellawaya,172.1,184.6
panadura,ratnapura,68.4,76.1
panadura,kegalle,106.1,107.1
panadura,embilipitiya,140.3,154.4
panadura,balangoda,112.1,122.3
panadura,ruwanwella,86.2,98.3
panadura,deraniyagala,90.7,102.8
panadura,kitulgala,106.8,119.0
panadura,rakkula,97.8,108.2
horana,avissawella,37.9,60.2
horana,wattala,45.8,46.6
horana,homagama,23.7,26.9
horana,maharagama,27.8,33.4
horana,boralesgamuwa,24.2,27.8
horana,kandy,137.3,146.3
horana,matale,167.4,170.8
horana,nuwara eliya,150.0,185.3
horana,gampola,134.8,151.6
horana,hatton,111.6,142.6
horana,dambulla,173.3,172.7
horana,katugastota,140.6,151.7
horana,peradeniya,131.4,139.0
horana,pilimathalawa,124.6,130.5
horana,galagedara,144.0,144.2
horana,galle,91.8,83.5
horana,matara,128.9,108.1
horana,hambantota,213.8,170.3
horana,tangalle,155.9,126.4
horana,ambalangoda,75.1,67.2
horana,deniyaya,165.3,150.5
horana,tissamaharama,222.7,182.0
horana,akuressa,117.2,103.7
horana,weligama,116.9,97.5
horana,batapola,73.4,69.2
horana,elipitiya,66.1,61.9
horana,jaffna,417.3,461.5
horana,vavuniya,277.4,298.1
horana,mannar,322.3,360.1
horana,kilinochchi,354.8,393.2
horana,mullaitivu,351.5,401.3
horana,point pedro,412.2,460.4
horana,chavakachcheri,402.4,445.2
horana,kayts,436.4,488.3
horana,veldithurai,416.1,467.0
horana,nallur,414.4,458.9
horana,trincomalee,280.8,296.4
horana,batticaloa,333.6,352.4
